epoch,phase,lr,word_dropout,loss_total,loss_lm,loss_nce,loss_attn,loss_vocab,loss_disc,val_bertscore_f1,best_metric,epoch_time_s
1,1,1.56e-05,0.0000,19.707198,12.764485,3.471356,0.000000,0.252485,0.000000,0.625632,0.625632,48.9
2,1,3.12e-05,0.0000,14.773301,8.453101,3.160100,0.000000,0.039297,0.000000,0.608891,0.625632,49.8
3,1,4.68e-05,0.0000,14.125131,8.128993,2.998069,0.000000,0.026047,0.000000,0.617347,0.625632,54.0
4,1,6.24e-05,0.0000,13.532686,7.925463,2.803611,0.000000,0.019720,0.000000,0.618290,0.625632,49.3
5,1,7.80e-05,0.0000,13.181565,7.767947,2.706809,0.000000,0.016484,0.000000,0.631536,0.631536,53.0
6,1,9.36e-05,0.0000,12.368193,7.101474,2.633360,0.000000,0.020349,0.000000,0.676914,0.676914,53.4
7,1,9.95e-05,0.0000,10.579743,5.380269,2.599737,0.000000,0.032045,0.000000,0.669457,0.676914,55.2
8,1,9.66e-05,0.0000,10.383082,5.219928,2.581577,0.000000,0.026843,0.000000,0.674421,0.676914,53.7
9,1,9.12e-05,0.0000,10.247331,5.168434,2.539449,0.000000,0.024309,0.000000,0.668588,0.676914,53.2
10,1,8.36e-05,0.0000,10.108335,5.118389,2.494973,0.000000,0.022252,0.000000,0.666358,0.676914,53.0
11,1,7.42e-05,0.0000,10.008072,5.094024,2.457024,0.000000,0.020836,0.000000,0.670334,0.676914,49.3
12,1,6.35e-05,0.0000,9.897745,5.077515,2.410115,0.000000,0.019731,0.000000,0.668110,0.676914,53.6
13,1,5.20e-05,0.0000,9.828448,5.059668,2.384390,0.000000,0.018842,0.000000,0.668840,0.676914,53.2
14,1,4.05e-05,0.0000,9.764385,5.043640,2.360372,0.000000,0.018408,0.000000,0.667360,0.676914,53.4
15,1,2.94e-05,0.0000,9.685515,5.030962,2.327277,0.000000,0.017911,0.000000,0.663949,0.676914,53.7
16,1,1.95e-05,0.0000,9.654169,5.025975,2.314097,0.000000,0.017594,0.000000,0.666380,0.676914,54.6
17,1,1.12e-05,0.0000,9.609910,5.024728,2.292591,0.000000,0.017288,0.000000,0.667447,0.676914,55.5
