epoch,phase,lr,word_dropout,loss_total,loss_lm,loss_nce,loss_attn,loss_vocab,loss_disc,val_bertscore_f1,best_metric,epoch_time_s
1,1,1.56e-05,0.0000,19.985515,12.888816,3.548350,0.000000,0.452119,0.000000,0.626597,0.626597,35.7
2,1,3.12e-05,0.0000,17.329608,10.408294,3.460657,0.000000,0.244592,0.000000,0.618758,0.626597,35.3
3,1,4.68e-05,0.0000,15.991197,9.239559,3.375819,0.000000,0.076586,0.000000,0.611299,0.626597,35.2
4,1,6.24e-05,0.0000,15.381911,8.820483,3.280714,0.000000,0.042238,0.000000,0.609227,0.626597,35.4
5,1,7.80e-05,0.0000,14.956966,8.622339,3.167313,0.000000,0.032041,0.000000,0.609711,0.626597,35.1
6,1,9.36e-05,0.0000,14.654492,8.509106,3.072693,0.000000,0.027066,0.000000,0.609735,0.626597,35.4
7,1,9.95e-05,0.0000,14.421747,8.418369,3.001689,0.000000,0.023685,0.000000,0.610090,0.626597,35.6
8,1,9.66e-05,0.0000,14.219976,8.332272,2.943852,0.000000,0.021372,0.000000,0.609403,0.626597,35.3
9,1,9.12e-05,0.0000,14.021765,8.271088,2.875338,0.000000,0.019908,0.000000,0.610942,0.626597,35.3
10,1,8.36e-05,0.0000,13.882576,8.206453,2.838062,0.000000,0.018782,0.000000,0.611163,0.626597,35.2
11,1,7.42e-05,0.0000,13.741119,8.144120,2.798499,0.000000,0.018024,0.000000,0.613356,0.626597,35.7
12,1,6.35e-05,0.0000,13.598468,8.066541,2.765964,0.000000,0.017859,0.000000,0.625886,0.626597,35.2
13,1,5.20e-05,0.0000,13.326710,7.853323,2.736694,0.000000,0.019458,0.000000,0.639341,0.639341,35.1
14,1,4.05e-05,0.0000,12.902870,7.459697,2.721587,0.000000,0.022632,0.000000,0.645106,0.645106,35.6
15,1,2.94e-05,0.0000,12.514769,7.110413,2.702178,0.000000,0.025674,0.000000,0.646179,0.646179,35.6
16,1,1.95e-05,0.0000,12.278989,6.897732,2.690629,0.000000,0.027049,0.000000,0.647241,0.647241,35.1
17,1,1.12e-05,0.0000,12.140605,6.790728,2.674938,0.000000,0.027452,0.000000,0.647567,0.647567,35.5
18,1,4.97e-06,0.0000,12.060049,6.741555,2.659247,0.000000,0.027347,0.000000,0.647550,0.647567,35.5
19,1,1.18e-06,0.0000,12.027628,6.718679,2.654474,0.000000,0.027303,0.000000,0.647462,0.647567,35.7
20,1,5.54e-09,0.0000,12.014630,6.713094,2.650768,0.000000,0.027294,0.000000,0.647404,0.647567,36.5
21,2,4.68e-06,0.3000,11.774267,7.624007,1.995409,1.594424,0.026862,1.282354,0.647522,0.647567,62.5
22,2,9.36e-06,0.3115,11.473956,7.323720,1.996169,1.578986,0.025315,1.264323,0.656873,0.656873,65.9
23,2,1.40e-05,0.3231,11.318710,7.163373,1.999998,1.553420,0.023537,1.280498,0.650627,0.656873,67.9
24,2,1.87e-05,0.3346,11.202496,7.045457,2.002018,1.530034,0.022045,1.316877,0.650706,0.656873,65.5
25,2,2.34e-05,0.3462,11.086299,6.937300,1.999369,1.502620,0.020873,1.339332,0.653187,0.656873,66.9
26,2,2.81e-05,0.3577,10.980130,6.826543,2.002135,1.493161,0.019904,1.371654,0.662626,0.662626,66.0
27,2,3.00e-05,0.3692,10.849991,6.717176,1.991545,1.497242,0.019091,1.429534,0.666268,0.666268,67.7
28,2,2.98e-05,0.3808,10.720686,6.587396,1.991387,1.505151,0.018383,1.468862,0.670727,0.670727,65.5
29,2,2.96e-05,0.3923,10.593918,6.472693,1.984761,1.517032,0.017845,1.522590,0.668404,0.670727,67.4
30,2,2.92e-05,0.4038,10.472581,6.375335,1.972247,1.527516,0.017333,1.588859,0.673188,0.673188,67.3
31,2,2.86e-05,0.4154,10.385245,6.287896,1.972313,1.527231,0.016934,1.645842,0.673444,0.673444,63.4
32,2,2.80e-05,0.4269,10.282669,6.208291,1.961008,1.523626,0.016591,1.703270,0.674557,0.674557,61.5
33,2,2.72e-05,0.4385,10.221480,6.154092,1.957952,1.514844,0.016300,1.764057,0.684988,0.684988,62.1
34,2,2.64e-05,0.4500,10.157600,6.110971,1.948065,1.504983,0.016020,1.820026,0.685906,0.685906,62.0
35,2,2.54e-05,0.4615,10.112480,6.071346,1.945868,1.493996,0.015758,1.890421,0.679505,0.685906,61.8
36,2,2.43e-05,0.4731,10.062168,6.043628,1.935231,1.480780,0.015555,1.951125,0.686724,0.686724,62.0
37,2,2.32e-05,0.4846,10.028252,6.027192,1.927271,1.465179,0.015318,2.005272,0.686212,0.686724,61.5
38,2,2.20e-05,0.4962,10.007669,6.017042,1.922676,1.452749,0.015119,2.060489,0.684626,0.686724,61.4
39,2,2.07e-05,0.5077,9.969353,5.995860,1.914710,1.440723,0.014921,2.098150,0.685955,0.686724,61.9
40,2,1.94e-05,0.5192,9.966958,5.999507,1.912668,1.421152,0.014740,2.153352,0.685683,0.686724,62.2
41,2,1.80e-05,0.5308,9.964001,6.002861,1.910027,1.410851,0.014577,2.200092,0.685244,0.686724,61.9
42,2,1.66e-05,0.5423,9.947948,6.003674,1.902372,1.395289,0.014421,2.242755,0.685538,0.686724,62.1
43,2,1.52e-05,0.5538,9.960143,6.027834,1.896938,1.384331,0.014305,2.310048,0.686868,0.686868,61.7
44,2,1.38e-05,0.5654,9.947539,6.033229,1.888757,1.367961,0.014163,2.354233,0.686971,0.686971,61.6
45,2,1.24e-05,0.5769,9.950517,6.046356,1.884400,1.353605,0.014050,2.389406,0.686653,0.686971,61.8
46,2,1.11e-05,0.5885,9.966637,6.070009,1.881212,1.342048,0.013944,2.443097,0.686645,0.686971,61.8
47,2,9.74e-06,0.6000,9.974130,6.087475,1.876554,1.335468,0.013849,2.471838,0.687371,0.687371,61.6
48,2,8.44e-06,0.6115,9.992680,6.113069,1.873437,1.327379,0.013774,2.516284,0.687975,0.687975,62.0
49,2,7.21e-06,0.6231,10.018782,6.147338,1.869846,1.317524,0.013684,2.578533,0.686572,0.687975,61.9
50,2,6.05e-06,0.6346,10.027370,6.172980,1.861683,1.310227,0.013633,2.618945,0.687655,0.687975,62.0
51,2,4.96e-06,0.6462,10.039820,6.188067,1.860695,1.303626,0.013576,2.635198,0.687416,0.687975,62.3
52,2,3.96e-06,0.6577,10.080354,6.231550,1.859485,1.298341,0.013527,2.708625,0.687487,0.687975,62.0
53,2,3.06e-06,0.6692,10.094685,6.256714,1.854276,1.294193,0.013481,2.725846,0.687865,0.687975,62.2
54,2,2.26e-06,0.6808,10.121888,6.289273,1.851743,1.291290,0.013448,2.773692,0.687164,0.687975,62.1
55,2,1.58e-06,0.6923,10.149489,6.322724,1.848951,1.288623,0.013430,2.816782,0.687551,0.687975,61.6
