epoch,phase,lr,word_dropout,loss_total,loss_lm,loss_nce,loss_attn,loss_vocab,loss_disc,val_bertscore_f1,best_metric,epoch_time_s
1,1,1.56e-05,0.0000,19.579342,12.474509,3.552416,0.000000,0.336512,0.000000,0.625535,0.625535,50.0
2,1,3.12e-05,0.0000,16.558875,9.673352,3.442762,0.000000,0.075951,0.000000,0.609907,0.625535,50.3
3,1,4.68e-05,0.0000,15.231818,8.756544,3.237637,0.000000,0.027870,0.000000,0.609455,0.625535,50.1
4,1,6.24e-05,0.0000,14.235351,8.461384,2.886983,0.000000,0.016290,0.000000,0.609508,0.625535,50.0
5,1,7.80e-05,0.0000,13.806158,8.327472,2.739343,0.000000,0.012110,0.000000,0.612628,0.625535,50.0
6,1,9.36e-05,0.0000,13.558265,8.241714,2.658276,0.000000,0.010080,0.000000,0.612622,0.625535,49.9
7,1,9.95e-05,0.0000,13.311114,8.152541,2.579287,0.000000,0.008959,0.000000,0.614940,0.625535,49.4
8,1,9.66e-05,0.0000,13.044117,8.055749,2.494184,0.000000,0.008121,0.000000,0.615953,0.625535,49.8
9,1,9.12e-05,0.0000,12.852388,7.977203,2.437593,0.000000,0.007639,0.000000,0.620554,0.625535,50.0
10,1,8.36e-05,0.0000,12.671714,7.922964,2.374375,0.000000,0.007284,0.000000,0.621435,0.625535,49.9
11,1,7.42e-05,0.0000,12.548995,7.875592,2.336702,0.000000,0.007023,0.000000,0.622854,0.625535,50.1
12,1,6.35e-05,0.0000,12.403908,7.834748,2.284580,0.000000,0.006834,0.000000,0.623025,0.625535,50.1
13,1,5.20e-05,0.0000,12.309722,7.806746,2.251488,0.000000,0.006699,0.000000,0.623711,0.625535,49.6
14,1,4.05e-05,0.0000,12.211708,7.783089,2.214309,0.000000,0.006601,0.000000,0.624180,0.625535,49.9
15,1,2.94e-05,0.0000,12.137675,7.765488,2.186094,0.000000,0.006531,0.000000,0.624857,0.625535,50.6
16,1,1.95e-05,0.0000,12.077170,7.751911,2.162629,0.000000,0.006484,0.000000,0.625105,0.625535,49.9
17,1,1.12e-05,0.0000,12.001445,7.741059,2.130193,0.000000,0.006451,0.000000,0.625128,0.625535,49.8
18,1,4.97e-06,0.0000,11.963050,7.733590,2.114730,0.000000,0.006434,0.000000,0.625079,0.625535,49.9
19,1,1.18e-06,0.0000,11.946496,7.730974,2.107761,0.000000,0.006425,0.000000,0.625230,0.625535,50.1
20,1,5.54e-09,0.0000,11.948864,7.733081,2.107891,0.000000,0.006421,0.000000,0.625197,0.625535,50.1
21,2,4.68e-06,0.3000,10.885984,7.728618,1.501837,1.536930,0.006415,0.517664,0.629007,0.629007,94.1
22,2,9.36e-06,0.3115,10.795539,7.656869,1.497415,1.438401,0.006386,0.482797,0.630569,0.630569,94.1
23,2,1.40e-05,0.3231,10.717196,7.570201,1.508940,1.291142,0.006337,0.452089,0.634461,0.634461,93.9
24,2,1.87e-05,0.3346,10.593742,7.465959,1.502810,1.221646,0.006277,0.450887,0.661549,0.661549,93.4
25,2,2.34e-05,0.3462,10.333662,7.198585,1.501065,1.329456,0.006202,0.568238,0.673544,0.673544,94.1
26,2,2.81e-05,0.3577,10.026452,6.875010,1.501476,1.484914,0.006127,0.693609,0.671109,0.673544,94.3
27,2,3.00e-05,0.3692,9.819240,6.636380,1.511220,1.604199,0.006068,0.760559,0.675768,0.675768,93.9
