epoch,phase,lr,word_dropout,loss_total,loss_lm,loss_nce,loss_attn,loss_vocab,loss_disc,val_bertscore_f1,best_metric,epoch_time_s
1,1,1.56e-05,0.0000,18.932040,11.835584,3.548228,0.000000,0.435296,0.000000,0.621779,0.621779,51.9
2,1,3.12e-05,0.0000,15.987971,9.124301,3.431835,0.000000,0.098533,0.000000,0.609250,0.621779,52.2
3,1,4.68e-05,0.0000,14.715405,8.442014,3.136695,0.000000,0.031233,0.000000,0.610545,0.621779,52.4
4,1,6.24e-05,0.0000,13.921413,8.251574,2.834920,0.000000,0.021960,0.000000,0.610674,0.621779,53.7
5,1,7.80e-05,0.0000,13.519402,8.097368,2.711017,0.000000,0.017562,0.000000,0.614418,0.621779,53.1
6,1,9.36e-05,0.0000,13.196751,7.926965,2.634893,0.000000,0.016194,0.000000,0.619094,0.621779,53.4
7,1,9.95e-05,0.0000,11.657411,6.509552,2.573930,0.000000,0.042620,0.000000,0.670915,0.670915,53.4
8,1,9.66e-05,0.0000,10.434778,5.417878,2.508450,0.000000,0.042604,0.000000,0.675455,0.675455,52.6
9,1,9.12e-05,0.0000,10.206269,5.333878,2.436195,0.000000,0.034048,0.000000,0.676902,0.676902,48.2
10,1,8.36e-05,0.0000,10.050196,5.303459,2.373369,0.000000,0.030480,0.000000,0.675046,0.676902,48.1
11,1,7.42e-05,0.0000,9.949421,5.282925,2.333248,0.000000,0.028281,0.000000,0.678102,0.678102,48.3
12,1,6.35e-05,0.0000,9.814022,5.257653,2.278184,0.000000,0.026806,0.000000,0.678459,0.678459,48.4
13,1,5.20e-05,0.0000,9.717635,5.245303,2.236166,0.000000,0.025615,0.000000,0.677151,0.678459,50.6
14,1,4.05e-05,0.0000,9.624050,5.235993,2.194029,0.000000,0.024712,0.000000,0.678969,0.678969,48.7
15,1,2.94e-05,0.0000,9.552473,5.223361,2.164556,0.000000,0.024176,0.000000,0.677312,0.678969,48.1
16,1,1.95e-05,0.0000,9.490294,5.217798,2.136248,0.000000,0.023672,0.000000,0.677779,0.678969,50.1
17,1,1.12e-05,0.0000,9.417045,5.213206,2.101919,0.000000,0.023379,0.000000,0.676793,0.678969,50.3
18,1,4.97e-06,0.0000,9.368018,5.204108,2.081955,0.000000,0.023242,0.000000,0.677858,0.678969,50.3
19,1,1.18e-06,0.0000,9.361931,5.208394,2.076769,0.000000,0.023159,0.000000,0.677739,0.678969,50.1
20,1,5.54e-09,0.0000,9.354537,5.205284,2.074626,0.000000,0.023123,0.000000,0.677836,0.678969,50.2
21,2,4.68e-06,0.3000,9.921634,6.972727,1.474454,2.133085,0.022762,1.245591,0.678271,0.678969,95.0
22,2,9.36e-06,0.3115,9.544069,6.606167,1.468951,2.151583,0.021873,1.138011,0.660042,0.678969,94.3
23,2,1.40e-05,0.3231,9.405299,6.442629,1.481335,2.174983,0.021109,1.073070,0.666387,0.678969,94.8
24,2,1.87e-05,0.3346,9.260333,6.318906,1.470713,2.189693,0.020291,1.040121,0.672527,0.678969,94.8
25,2,2.34e-05,0.3462,9.135580,6.201816,1.466882,2.198613,0.019398,1.004896,0.679295,0.679295,94.9
26,2,2.81e-05,0.3577,8.999117,6.089802,1.454658,2.203608,0.018538,0.978230,0.680033,0.680033,95.2
27,2,3.00e-05,0.3692,8.897009,5.981818,1.457596,2.210991,0.017715,0.973663,0.680817,0.680817,94.0
28,2,2.98e-05,0.3808,8.735016,5.874126,1.430445,2.213949,0.017016,0.948691,0.682695,0.682695,94.0
29,2,2.96e-05,0.3923,8.647976,5.792112,1.427932,2.219306,0.016452,0.932783,0.689796,0.689796,94.9
30,2,2.92e-05,0.4038,8.526117,5.717929,1.404094,2.224108,0.015969,0.927824,0.690716,0.690716,95.1
31,2,2.86e-05,0.4154,8.463352,5.665733,1.398809,2.226298,0.015542,0.935156,0.692172,0.692172,94.9
32,2,2.80e-05,0.4269,8.378026,5.613957,1.382034,2.224612,0.015179,0.914733,0.692685,0.692685,94.3
33,2,2.72e-05,0.4385,8.318303,5.566347,1.375978,2.227237,0.014868,0.916824,0.690706,0.692685,94.6
34,2,2.64e-05,0.4500,8.255020,5.537948,1.358536,2.230033,0.014563,0.916729,0.690448,0.692685,94.5
35,2,2.54e-05,0.4615,8.204863,5.510016,1.347424,2.229433,0.014256,0.898419,0.692855,0.692855,94.3
36,2,2.43e-05,0.4731,8.159820,5.493032,1.333394,2.228771,0.014010,0.905536,0.692480,0.692855,95.3
37,2,2.32e-05,0.4846,8.107190,5.481647,1.312772,2.228729,0.013776,0.920901,0.694432,0.694432,94.1
38,2,2.20e-05,0.4962,8.104303,5.478742,1.312781,2.227327,0.013559,0.932386,0.694777,0.694777,94.7
39,2,2.07e-05,0.5077,8.054523,5.463550,1.295487,2.226618,0.013387,0.896682,0.696589,0.696589,94.9
40,2,1.94e-05,0.5192,8.057866,5.480321,1.288773,2.226973,0.013210,0.951710,0.694972,0.696589,94.0
41,2,1.80e-05,0.5308,8.034866,5.482662,1.276102,2.227420,0.013085,0.906013,0.696004,0.696589,95.0
42,2,1.66e-05,0.5423,8.027342,5.497018,1.265162,2.226633,0.012927,0.942600,0.696306,0.696589,94.5
43,2,1.52e-05,0.5538,8.033172,5.506768,1.263202,2.226354,0.012788,0.932239,0.695183,0.696589,94.0
44,2,1.38e-05,0.5654,8.021131,5.517855,1.251638,2.227331,0.012661,0.960644,0.696030,0.696589,94.8
45,2,1.24e-05,0.5769,8.033577,5.535665,1.248956,2.227716,0.012565,0.962169,0.695295,0.696589,93.8
46,2,1.11e-05,0.5885,8.032775,5.552893,1.239941,2.226831,0.012452,1.000119,0.696401,0.696589,94.0
47,2,9.74e-06,0.6000,8.054713,5.587386,1.233663,2.225607,0.012373,1.025805,0.696410,0.696589,94.9
48,2,8.44e-06,0.6115,8.056437,5.605513,1.225462,2.225616,0.012293,1.042432,0.696218,0.696589,94.6
49,2,7.21e-06,0.6231,8.062559,5.623381,1.219589,2.226101,0.012229,1.049654,0.695782,0.696589,95.4
50,2,6.05e-06,0.6346,8.079641,5.652248,1.213696,2.227193,0.012170,1.099603,0.697344,0.697344,94.0
51,2,4.96e-06,0.6462,8.107911,5.677162,1.215374,2.225516,0.012125,1.085417,0.696606,0.697344,94.5
52,2,3.96e-06,0.6577,8.121453,5.700753,1.210350,2.224565,0.012078,1.162062,0.695942,0.697344,94.5
53,2,3.06e-06,0.6692,8.154618,5.739854,1.207382,2.224966,0.012042,1.196593,0.695978,0.697344,94.9
54,2,2.26e-06,0.6808,8.187128,5.774263,1.206432,2.225201,0.012009,1.213730,0.696050,0.697344,95.0
55,2,1.58e-06,0.6923,8.210551,5.804023,1.203264,2.224832,0.011991,1.215352,0.695912,0.697344,94.0
56,2,1.01e-06,0.7038,8.244377,5.839653,1.202362,2.225492,0.011977,1.298284,0.696149,0.697344,95.4
57,2,5.64e-07,0.7154,8.281143,5.875758,1.202693,2.225165,0.011965,1.328226,0.695961,0.697344,95.0
58,2,2.46e-07,0.7269,8.303359,5.910076,1.196642,2.225945,0.011961,1.340577,0.695656,0.697344,95.1
59,2,5.76e-08,0.7385,8.344527,5.946690,1.198918,2.225124,0.011955,1.406305,0.695921,0.697344,94.5
60,2,2.71e-10,0.7500,8.380793,5.985353,1.197720,2.225429,0.011954,1.490988,0.695967,0.697344,94.4
