epoch,phase,lr,word_dropout,loss_total,loss_lm,loss_nce,loss_attn,loss_vocab,loss_disc,val_bertscore_f1,best_metric,epoch_time_s
1,1,1.56e-05,0.0000,11.791932,11.791932,0.000000,0.000000,0.432697,0.000000,0.620213,0.620213,48.1
2,1,3.12e-05,0.0000,9.028687,9.028687,0.000000,0.000000,0.090613,0.000000,0.608447,0.620213,48.5
3,1,4.68e-05,0.0000,8.277582,8.277582,0.000000,0.000000,0.025235,0.000000,0.612416,0.620213,48.3
4,1,6.24e-05,0.0000,7.929013,7.929013,0.000000,0.000000,0.017050,0.000000,0.665575,0.665575,48.4
5,1,7.80e-05,0.0000,5.791256,5.791256,0.000000,0.000000,0.046846,0.000000,0.667358,0.667358,47.8
6,1,9.36e-05,0.0000,5.342499,5.342499,0.000000,0.000000,0.030952,0.000000,0.671002,0.671002,47.8
7,1,9.95e-05,0.0000,5.303178,5.303178,0.000000,0.000000,0.026014,0.000000,0.668731,0.671002,49.2
8,1,9.66e-05,0.0000,5.274695,5.274695,0.000000,0.000000,0.022831,0.000000,0.667681,0.671002,49.4
9,1,9.12e-05,0.0000,5.245279,5.245279,0.000000,0.000000,0.020855,0.000000,0.669952,0.671002,49.7
10,1,8.36e-05,0.0000,5.226497,5.226497,0.000000,0.000000,0.019439,0.000000,0.663039,0.671002,50.4
11,1,7.42e-05,0.0000,5.188197,5.188197,0.000000,0.000000,0.018392,0.000000,0.657208,0.671002,49.6
12,1,6.35e-05,0.0000,5.125955,5.125955,0.000000,0.000000,0.017371,0.000000,0.653117,0.671002,49.8
13,1,5.20e-05,0.0000,5.089046,5.089046,0.000000,0.000000,0.016181,0.000000,0.661957,0.671002,50.0
14,1,4.05e-05,0.0000,5.068145,5.068145,0.000000,0.000000,0.015279,0.000000,0.657781,0.671002,50.0
15,1,2.94e-05,0.0000,5.052687,5.052687,0.000000,0.000000,0.014713,0.000000,0.661830,0.671002,50.6
16,1,1.95e-05,0.0000,5.036380,5.036380,0.000000,0.000000,0.014316,0.000000,0.663449,0.671002,49.8
17,1,1.12e-05,0.0000,5.029171,5.029171,0.000000,0.000000,0.014023,0.000000,0.662615,0.671002,50.3
18,1,4.97e-06,0.0000,5.018291,5.018291,0.000000,0.000000,0.013891,0.000000,0.663730,0.671002,49.7
19,1,1.18e-06,0.0000,5.018766,5.018766,0.000000,0.000000,0.013799,0.000000,0.664991,0.671002,49.9
20,1,5.54e-09,0.0000,5.016880,5.016880,0.000000,0.000000,0.013799,0.000000,0.664834,0.671002,50.0
21,2,4.68e-06,0.3000,7.042346,6.865080,0.000000,1.772665,0.013566,1.208253,0.682698,0.682698,100.7
22,2,9.36e-06,0.3115,6.647417,6.485796,0.000000,1.616208,0.013026,1.010922,0.676324,0.682698,100.4
23,2,1.40e-05,0.3231,6.486329,6.347833,0.000000,1.384960,0.012328,0.980620,0.678084,0.682698,102.5
24,2,1.87e-05,0.3346,6.366052,6.245714,0.000000,1.203382,0.011677,0.999644,0.676016,0.682698,100.7
25,2,2.34e-05,0.3462,6.243257,6.138930,0.000000,1.043263,0.011094,1.010284,0.677298,0.682698,101.0
26,2,2.81e-05,0.3577,6.121587,6.031864,0.000000,0.897229,0.010525,1.018390,0.681135,0.682698,101.4
27,2,3.00e-05,0.3692,6.009494,5.930223,0.000000,0.792704,0.010045,1.070232,0.683052,0.683052,100.7
28,2,2.98e-05,0.3808,5.901222,5.831759,0.000000,0.694624,0.009661,1.080759,0.680998,0.683052,100.3
29,2,2.96e-05,0.3923,5.809910,5.747591,0.000000,0.623187,0.009398,1.083969,0.687694,0.687694,100.9
30,2,2.92e-05,0.4038,5.734160,5.678125,0.000000,0.560358,0.009110,1.106956,0.690754,0.690754,99.8
31,2,2.86e-05,0.4154,5.682817,5.629919,0.000000,0.528980,0.008924,1.137929,0.690395,0.690754,99.9
32,2,2.80e-05,0.4269,5.631130,5.582789,0.000000,0.483404,0.008777,1.130567,0.693102,0.693102,101.6
33,2,2.72e-05,0.4385,5.586817,5.541808,0.000000,0.450090,0.008608,1.157442,0.690404,0.693102,100.0
34,2,2.64e-05,0.4500,5.555654,5.513249,0.000000,0.424043,0.008482,1.168207,0.693391,0.693391,99.2
35,2,2.54e-05,0.4615,5.530398,5.490364,0.000000,0.400343,0.008337,1.168284,0.691844,0.693391,102.1
36,2,2.43e-05,0.4731,5.514196,5.476530,0.000000,0.376664,0.008209,1.192571,0.694681,0.694681,100.1
37,2,2.32e-05,0.4846,5.505208,5.468758,0.000000,0.364496,0.008106,1.213360,0.693760,0.694681,99.1
38,2,2.20e-05,0.4962,5.502928,5.467915,0.000000,0.350131,0.008016,1.228493,0.693895,0.694681,103.4
39,2,2.07e-05,0.5077,5.494258,5.460181,0.000000,0.340763,0.007930,1.207114,0.694991,0.694991,102.6
40,2,1.94e-05,0.5192,5.509753,5.476608,0.000000,0.331446,0.007856,1.270838,0.693088,0.694991,103.0
41,2,1.80e-05,0.5308,5.514410,5.481473,0.000000,0.329370,0.007789,1.239403,0.694015,0.694991,104.4
42,2,1.66e-05,0.5423,5.533036,5.500820,0.000000,0.322155,0.007743,1.289723,0.694689,0.694991,102.2
43,2,1.52e-05,0.5538,5.544167,5.512435,0.000000,0.317323,0.007683,1.294287,0.694780,0.694991,102.4
44,2,1.38e-05,0.5654,5.558506,5.527429,0.000000,0.310767,0.007621,1.324166,0.695587,0.695587,102.6
