epoch,phase,lr,word_dropout,loss_total,loss_lm,loss_nce,loss_attn,loss_vocab,loss_disc,val_bertscore_f1,best_metric,epoch_time_s
1,1,1.56e-05,0.0000,18.936228,11.839632,3.548298,0.000000,0.437051,0.000000,0.620803,0.620803,48.3
2,1,3.12e-05,0.0000,15.948598,9.086537,3.431031,0.000000,0.094272,0.000000,0.608256,0.620803,48.3
3,1,4.68e-05,0.0000,14.695370,8.437536,3.128917,0.000000,0.031273,0.000000,0.610489,0.620803,48.0
4,1,6.24e-05,0.0000,13.896667,8.246677,2.824995,0.000000,0.022191,0.000000,0.609302,0.620803,48.2
5,1,7.80e-05,0.0000,13.530308,8.085287,2.722511,0.000000,0.017847,0.000000,0.611269,0.620803,47.7
6,1,9.36e-05,0.0000,13.159604,7.903011,2.628296,0.000000,0.016594,0.000000,0.622253,0.622253,48.0
7,1,9.95e-05,0.0000,11.441403,6.293047,2.574178,0.000000,0.048563,0.000000,0.672299,0.672299,47.5
8,1,9.66e-05,0.0000,10.380895,5.379676,2.500609,0.000000,0.041491,0.000000,0.677081,0.677081,48.2
9,1,9.12e-05,0.0000,10.203138,5.328894,2.437122,0.000000,0.033693,0.000000,0.674377,0.677081,47.7
10,1,8.36e-05,0.0000,10.044987,5.299967,2.372510,0.000000,0.030441,0.000000,0.677568,0.677568,47.9
11,1,7.42e-05,0.0000,9.912707,5.274631,2.319038,0.000000,0.028508,0.000000,0.677731,0.677731,48.2
12,1,6.35e-05,0.0000,9.800661,5.252877,2.273892,0.000000,0.026935,0.000000,0.677212,0.677731,48.4
13,1,5.20e-05,0.0000,9.712516,5.245345,2.233586,0.000000,0.025810,0.000000,0.677763,0.677763,47.5
14,1,4.05e-05,0.0000,9.628907,5.236365,2.196271,0.000000,0.025047,0.000000,0.679246,0.679246,47.5
15,1,2.94e-05,0.0000,9.533975,5.221806,2.156084,0.000000,0.024434,0.000000,0.678286,0.679246,48.4
16,1,1.95e-05,0.0000,9.461991,5.218366,2.121813,0.000000,0.024007,0.000000,0.677025,0.679246,48.1
17,1,1.12e-05,0.0000,9.413906,5.215054,2.099426,0.000000,0.023639,0.000000,0.677560,0.679246,47.5
18,1,4.97e-06,0.0000,9.381495,5.208139,2.086678,0.000000,0.023489,0.000000,0.677345,0.679246,47.6
19,1,1.18e-06,0.0000,9.357809,5.214466,2.071671,0.000000,0.023384,0.000000,0.676809,0.679246,47.5
20,1,5.54e-09,0.0000,9.338969,5.204383,2.067293,0.000000,0.023357,0.000000,0.676957,0.679246,47.7
21,2,4.68e-06,0.3000,10.192780,7.044661,1.467460,2.131985,0.023054,0.000000,0.676932,0.679246,68.6
22,2,9.36e-06,0.3115,9.757223,6.614250,1.465903,2.111677,0.022144,0.000000,0.660505,0.679246,69.6
23,2,1.40e-05,0.3231,9.588802,6.452730,1.466077,2.039185,0.021191,0.000000,0.665201,0.679246,68.4
24,2,1.87e-05,0.3346,9.445572,6.334514,1.460636,1.897855,0.020105,0.000000,0.671603,0.679246,69.2
25,2,2.34e-05,0.3462,9.322839,6.233197,1.459805,1.700333,0.018940,0.000000,0.676892,0.679246,68.6
26,2,2.81e-05,0.3577,9.172591,6.124104,1.449134,1.502190,0.017803,0.000000,0.680851,0.680851,68.8
27,2,3.00e-05,0.3692,9.052053,6.021416,1.448971,1.326955,0.016816,0.000000,0.680501,0.680851,68.9
28,2,2.98e-05,0.3808,8.919730,5.935436,1.431382,1.215312,0.016075,0.000000,0.685966,0.685966,69.4
29,2,2.96e-05,0.3923,8.782646,5.851319,1.409685,1.119563,0.015461,0.000000,0.693242,0.693242,69.5
30,2,2.92e-05,0.4038,8.699075,5.786993,1.403511,1.050593,0.014909,0.000000,0.692882,0.693242,68.9
31,2,2.86e-05,0.4154,8.597157,5.729362,1.384246,0.993036,0.014514,0.000000,0.691013,0.693242,69.3
32,2,2.80e-05,0.4269,8.529756,5.685364,1.375308,0.937771,0.014206,0.000000,0.692704,0.693242,69.8
33,2,2.72e-05,0.4385,8.448871,5.636330,1.361544,0.894534,0.013899,0.000000,0.691009,0.693242,69.6
34,2,2.64e-05,0.4500,8.401273,5.613825,1.350931,0.855862,0.013596,0.000000,0.693936,0.693936,69.7
35,2,2.54e-05,0.4615,8.331372,5.582175,1.332557,0.840831,0.013378,0.000000,0.692673,0.693936,69.3
36,2,2.43e-05,0.4731,8.288494,5.564488,1.321845,0.803162,0.013135,0.000000,0.693540,0.693936,69.4
37,2,2.32e-05,0.4846,8.251232,5.546481,1.313000,0.787510,0.012941,0.000000,0.694785,0.694785,69.7
38,2,2.20e-05,0.4962,8.222598,5.558395,1.293975,0.762530,0.012745,0.000000,0.695299,0.695299,69.2
39,2,2.07e-05,0.5077,8.213597,5.546876,1.296123,0.744754,0.012563,0.000000,0.693395,0.695299,69.1
40,2,1.94e-05,0.5192,8.184832,5.554404,1.279155,0.721181,0.012442,0.000000,0.697665,0.697665,69.0
41,2,1.80e-05,0.5308,8.170420,5.559611,1.269766,0.712780,0.012325,0.000000,0.694862,0.697665,69.9
42,2,1.66e-05,0.5423,8.150359,5.571337,1.254589,0.698426,0.012188,0.000000,0.695122,0.697665,69.2
43,2,1.52e-05,0.5538,8.149730,5.581081,1.249787,0.690747,0.012083,0.000000,0.696381,0.697665,69.5
44,2,1.38e-05,0.5654,8.156340,5.604951,1.241602,0.681843,0.012007,0.000000,0.696709,0.697665,69.2
45,2,1.24e-05,0.5769,8.152691,5.620273,1.232753,0.669116,0.011899,0.000000,0.697521,0.697665,69.5
46,2,1.11e-05,0.5885,8.154829,5.642458,1.223103,0.661640,0.011805,0.000000,0.695207,0.697665,69.1
47,2,9.74e-06,0.6000,8.171068,5.657247,1.224211,0.653987,0.011745,0.000000,0.695602,0.697665,69.7
