epoch,phase,lr,word_dropout,loss_total,loss_lm,loss_nce,loss_attn,loss_vocab,loss_disc,val_bertscore_f1,best_metric,epoch_time_s
1,1,1.56e-05,0.0000,18.932040,11.835584,3.548228,0.000000,0.435296,0.000000,0.621779,0.621779,49.9
2,1,3.12e-05,0.0000,15.987971,9.124301,3.431835,0.000000,0.098533,0.000000,0.609250,0.621779,49.8
3,1,4.68e-05,0.0000,14.715405,8.442014,3.136695,0.000000,0.031233,0.000000,0.610545,0.621779,50.1
4,1,6.24e-05,0.0000,13.921413,8.251574,2.834920,0.000000,0.021960,0.000000,0.610674,0.621779,49.8
5,1,7.80e-05,0.0000,13.519402,8.097368,2.711017,0.000000,0.017562,0.000000,0.614418,0.621779,50.1
6,1,9.36e-05,0.0000,13.196751,7.926965,2.634893,0.000000,0.016194,0.000000,0.619094,0.621779,50.1
7,1,9.95e-05,0.0000,11.657411,6.509552,2.573930,0.000000,0.042620,0.000000,0.670915,0.670915,50.1
8,1,9.66e-05,0.0000,10.434778,5.417878,2.508450,0.000000,0.042604,0.000000,0.675455,0.675455,50.0
9,1,9.12e-05,0.0000,10.206269,5.333878,2.436195,0.000000,0.034048,0.000000,0.676902,0.676902,50.0
10,1,8.36e-05,0.0000,10.050196,5.303459,2.373369,0.000000,0.030480,0.000000,0.675046,0.676902,49.9
11,1,7.42e-05,0.0000,9.949421,5.282925,2.333248,0.000000,0.028281,0.000000,0.678102,0.678102,49.9
12,1,6.35e-05,0.0000,9.814022,5.257653,2.278184,0.000000,0.026806,0.000000,0.678459,0.678459,49.8
13,1,5.20e-05,0.0000,9.717635,5.245303,2.236166,0.000000,0.025615,0.000000,0.677151,0.678459,50.2
14,1,4.05e-05,0.0000,9.624050,5.235993,2.194029,0.000000,0.024712,0.000000,0.678969,0.678969,50.0
15,1,2.94e-05,0.0000,9.552473,5.223361,2.164556,0.000000,0.024176,0.000000,0.677312,0.678969,50.2
16,1,1.95e-05,0.0000,9.490294,5.217798,2.136248,0.000000,0.023672,0.000000,0.677779,0.678969,49.9
17,1,1.12e-05,0.0000,9.417045,5.213206,2.101919,0.000000,0.023379,0.000000,0.676793,0.678969,49.8
18,1,4.97e-06,0.0000,9.368018,5.204108,2.081955,0.000000,0.023242,0.000000,0.677858,0.678969,50.2
19,1,1.18e-06,0.0000,9.361931,5.208394,2.076769,0.000000,0.023159,0.000000,0.677739,0.678969,50.0
20,1,5.54e-09,0.0000,9.354537,5.205284,2.074626,0.000000,0.023123,0.000000,0.677836,0.678969,50.2
21,2,4.68e-06,0.3000,9.397215,6.232942,1.474169,2.159335,0.022869,1.916870,0.671421,0.678969,94.5
22,2,9.36e-06,0.3115,9.165830,6.014787,1.468426,2.141908,0.022269,1.790297,0.668030,0.678969,105.2
23,2,1.40e-05,0.3231,9.041685,5.869884,1.480944,2.099133,0.021611,1.768504,0.667084,0.678969,104.3
24,2,1.87e-05,0.3346,8.895106,5.750075,1.471217,2.025986,0.020844,1.759234,0.667905,0.678969,104.7
25,2,2.34e-05,0.3462,8.774420,5.647208,1.467406,1.924008,0.019969,1.776516,0.673967,0.678969,104.1
26,2,2.81e-05,0.3577,8.626871,5.536979,1.455434,1.790237,0.019068,1.799410,0.665117,0.678969,104.2
27,2,3.00e-05,0.3692,8.512044,5.430926,1.458387,1.643437,0.018231,1.843302,0.669117,0.678969,95.6
28,2,2.98e-05,0.3808,8.343263,5.329861,1.431378,1.506464,0.017500,1.884470,0.666309,0.678969,97.0
29,2,2.96e-05,0.3923,8.252060,5.251524,1.429939,1.406565,0.016906,1.941168,0.678680,0.678969,97.1
30,2,2.92e-05,0.4038,8.116948,5.170499,1.406772,1.329058,0.016421,1.968884,0.680765,0.680765,96.1
31,2,2.86e-05,0.4154,8.042843,5.114840,1.401149,1.257057,0.015984,2.022652,0.683994,0.683994,95.2
32,2,2.80e-05,0.4269,7.940121,5.050621,1.385159,1.191819,0.015611,2.048337,0.686362,0.686362,95.9
33,2,2.72e-05,0.4385,7.873948,5.001205,1.378553,1.156369,0.015312,2.092402,0.686763,0.686763,93.6
34,2,2.64e-05,0.4500,7.791694,4.959062,1.360759,1.111132,0.015032,2.134284,0.691646,0.691646,94.1
35,2,2.54e-05,0.4615,7.734856,4.926865,1.350015,1.079612,0.014765,2.168073,0.687552,0.691646,94.4
36,2,2.43e-05,0.4731,7.668689,4.892216,1.336100,1.042731,0.014512,2.194745,0.687670,0.691646,95.2
37,2,2.32e-05,0.4846,7.605652,4.871002,1.316070,1.025108,0.014329,2.234859,0.690149,0.691646,94.1
38,2,2.20e-05,0.4962,7.581825,4.852503,1.314928,0.994650,0.014131,2.273515,0.692297,0.692297,94.4
39,2,2.07e-05,0.5077,7.525426,4.832982,1.297750,0.969439,0.013976,2.288176,0.691534,0.692297,95.5
40,2,1.94e-05,0.5192,7.516999,4.839171,1.291140,0.955474,0.013803,2.351990,0.689038,0.692297,94.7
41,2,1.80e-05,0.5308,7.491567,4.841140,1.278281,0.938661,0.013650,2.367166,0.688991,0.692297,94.5
42,2,1.66e-05,0.5423,7.481444,4.853712,1.267691,0.923494,0.013498,2.421796,0.689550,0.692297,94.0
43,2,1.52e-05,0.5538,7.476870,4.856309,1.264650,0.912613,0.013380,2.435810,0.688622,0.692297,93.9
44,2,1.38e-05,0.5654,7.459804,4.861855,1.253725,0.904992,0.013264,2.475164,0.688747,0.692297,95.3
45,2,1.24e-05,0.5769,7.475335,4.884066,1.251006,0.892570,0.013154,2.502961,0.689602,0.692297,95.1
46,2,1.11e-05,0.5885,7.477388,4.904906,1.242031,0.884207,0.013066,2.553988,0.688100,0.692297,94.8
47,2,9.74e-06,0.6000,7.512063,4.952692,1.235876,0.876199,0.012993,2.626539,0.690866,0.692297,94.4
48,2,8.44e-06,0.6115,7.509003,4.967124,1.227199,0.874800,0.012898,2.649227,0.687452,0.692297,94.1
49,2,7.21e-06,0.6231,7.528594,4.997983,1.221628,0.873552,0.012834,2.682675,0.688277,0.692297,94.5
50,2,6.05e-06,0.6346,7.551065,5.033779,1.215230,0.868251,0.012776,2.736148,0.690224,0.692297,94.8
51,2,4.96e-06,0.6462,7.600626,5.081358,1.216745,0.857779,0.012724,2.790873,0.689305,0.692297,95.4
52,2,3.96e-06,0.6577,7.615316,5.105614,1.212086,0.855296,0.012674,2.838315,0.687786,0.692297,93.8
53,2,3.06e-06,0.6692,7.670990,5.167172,1.209211,0.853953,0.012629,2.899981,0.687454,0.692297,94.0
54,2,2.26e-06,0.6808,7.716327,5.215462,1.207805,0.852541,0.012595,2.960282,0.688106,0.692297,94.7
55,2,1.58e-06,0.6923,7.753793,5.260596,1.204120,0.849574,0.012572,2.994421,0.688942,0.692297,94.4
56,2,1.01e-06,0.7038,7.808214,5.315901,1.203959,0.843949,0.012552,3.076555,0.688413,0.692297,94.8
57,2,5.64e-07,0.7154,7.866311,5.373099,1.204434,0.843451,0.012535,3.138721,0.688423,0.692297,94.4
58,2,2.46e-07,0.7269,7.905085,5.424274,1.198103,0.846062,0.012531,3.187622,0.688595,0.692297,94.5
59,2,5.76e-08,0.7385,7.965940,5.481741,1.200252,0.836950,0.012521,3.267058,0.688411,0.692297,94.7
60,2,2.71e-10,0.7500,8.024423,5.543493,1.198758,0.834152,0.012522,3.347683,0.688537,0.692297,95.4
