epoch,phase,lr,word_dropout,loss_total,loss_lm,loss_nce,loss_attn,loss_vocab,loss_disc,val_bertscore_f1,best_metric,epoch_time_s
1,1,1.56e-05,0.0000,18.932040,11.835584,3.548228,0.000000,0.435296,0.000000,0.621779,0.621779,50.0
2,1,3.12e-05,0.0000,15.987971,9.124301,3.431835,0.000000,0.098533,0.000000,0.609250,0.621779,50.1
3,1,4.68e-05,0.0000,14.715405,8.442014,3.136695,0.000000,0.031233,0.000000,0.610545,0.621779,49.9
4,1,6.24e-05,0.0000,13.921413,8.251574,2.834920,0.000000,0.021960,0.000000,0.610674,0.621779,50.1
5,1,7.80e-05,0.0000,13.519402,8.097368,2.711017,0.000000,0.017562,0.000000,0.614418,0.621779,50.1
6,1,9.36e-05,0.0000,13.196751,7.926965,2.634893,0.000000,0.016194,0.000000,0.619094,0.621779,50.2
7,1,9.95e-05,0.0000,11.657411,6.509552,2.573930,0.000000,0.042620,0.000000,0.670915,0.670915,50.3
8,1,9.66e-05,0.0000,10.434778,5.417878,2.508450,0.000000,0.042604,0.000000,0.675455,0.675455,50.1
9,1,9.12e-05,0.0000,10.206269,5.333878,2.436195,0.000000,0.034048,0.000000,0.676902,0.676902,49.8
10,1,8.36e-05,0.0000,10.050196,5.303459,2.373369,0.000000,0.030480,0.000000,0.675046,0.676902,50.1
11,1,7.42e-05,0.0000,9.949421,5.282925,2.333248,0.000000,0.028281,0.000000,0.678102,0.678102,50.0
12,1,6.35e-05,0.0000,9.814022,5.257653,2.278184,0.000000,0.026806,0.000000,0.678459,0.678459,49.9
13,1,5.20e-05,0.0000,9.717635,5.245303,2.236166,0.000000,0.025615,0.000000,0.677151,0.678459,50.2
14,1,4.05e-05,0.0000,9.624050,5.235993,2.194029,0.000000,0.024712,0.000000,0.678969,0.678969,50.0
15,1,2.94e-05,0.0000,9.552473,5.223361,2.164556,0.000000,0.024176,0.000000,0.677312,0.678969,49.9
16,1,1.95e-05,0.0000,9.490294,5.217798,2.136248,0.000000,0.023672,0.000000,0.677779,0.678969,50.3
17,1,1.12e-05,0.0000,9.417045,5.213206,2.101919,0.000000,0.023379,0.000000,0.676793,0.678969,50.0
18,1,4.97e-06,0.0000,9.368018,5.204108,2.081955,0.000000,0.023242,0.000000,0.677858,0.678969,49.7
19,1,1.18e-06,0.0000,9.361931,5.208394,2.076769,0.000000,0.023159,0.000000,0.677739,0.678969,50.3
20,1,5.54e-09,0.0000,9.354537,5.205284,2.074626,0.000000,0.023123,0.000000,0.677836,0.678969,50.2
21,2,4.68e-06,0.0000,9.598237,6.446108,1.469391,2.133464,0.022747,0.635680,0.679100,0.679100,93.7
22,2,9.36e-06,0.0000,9.214599,6.060520,1.471594,2.108903,0.021858,0.536697,0.657376,0.679100,105.7
23,2,1.40e-05,0.0000,9.028674,5.857787,1.482918,2.050504,0.021086,0.448389,0.669339,0.679100,98.3
24,2,1.87e-05,0.0000,8.804460,5.664931,1.472077,1.953743,0.020232,0.353326,0.678810,0.679100,95.5
25,2,2.34e-05,0.0000,8.577774,5.464240,1.465265,1.830050,0.019296,0.263285,0.682233,0.682233,94.7
26,2,2.81e-05,0.0000,8.344793,5.260441,1.457234,1.698848,0.018411,0.205682,0.680010,0.682233,94.5
27,2,3.00e-05,0.0000,8.122456,5.056203,1.454382,1.574887,0.017625,0.139202,0.687330,0.687330,94.6
28,2,2.98e-05,0.0000,7.864941,4.855527,1.430312,1.487916,0.016942,0.100938,0.690405,0.690405,94.6
29,2,2.96e-05,0.0000,7.662098,4.675513,1.423394,1.397959,0.016315,0.066482,0.690556,0.690556,93.8
30,2,2.92e-05,0.0000,7.472192,4.525210,1.407637,1.317082,0.015775,0.047864,0.688447,0.690556,108.2
31,2,2.86e-05,0.0000,7.302068,4.388052,1.394209,1.255978,0.015320,0.028772,0.691792,0.691792,96.7
32,2,2.80e-05,0.0000,7.152350,4.265315,1.383827,1.193821,0.014927,0.025639,0.691494,0.691792,96.0
33,2,2.72e-05,0.0000,7.010538,4.156186,1.369951,1.144495,0.014585,0.017835,0.689904,0.691792,97.6
34,2,2.64e-05,0.0000,6.881433,4.061375,1.355216,1.096269,0.014259,0.013934,0.692241,0.692241,95.8
35,2,2.54e-05,0.0000,6.773719,3.974619,1.346782,1.055365,0.013967,0.006053,0.694023,0.694023,96.4
36,2,2.43e-05,0.0000,6.654536,3.904104,1.324385,1.016617,0.013698,0.005115,0.695037,0.695037,95.8
