epoch,phase,lr,word_dropout,loss_total,loss_lm,loss_nce,loss_attn,loss_vocab,loss_disc,val_bertscore_f1,best_metric,epoch_time_s
1,1,1.56e-05,0.0000,17.529634,10.529336,3.500149,0.000000,0.273286,0.000000,0.610042,0.610042,49.3
2,1,3.12e-05,0.0000,14.405969,8.238607,3.083681,0.000000,0.046925,0.000000,0.617313,0.617313,46.9
3,1,4.68e-05,0.0000,13.865584,8.035657,2.914963,0.000000,0.033417,0.000000,0.615945,0.617313,46.6
4,1,6.24e-05,0.0000,13.481941,7.903375,2.789283,0.000000,0.028031,0.000000,0.624391,0.624391,46.7
5,1,7.80e-05,0.0000,12.939985,7.508816,2.715584,0.000000,0.029932,0.000000,0.672022,0.672022,48.1
6,1,9.36e-05,0.0000,11.150607,5.771497,2.689555,0.000000,0.059896,0.000000,0.670888,0.672022,46.6
7,1,9.95e-05,0.0000,10.633843,5.395012,2.619416,0.000000,0.048512,0.000000,0.671034,0.672022,46.8
8,1,9.66e-05,0.0000,10.452307,5.320853,2.565727,0.000000,0.042283,0.000000,0.674700,0.674700,46.7
9,1,9.12e-05,0.0000,10.282084,5.278029,2.502027,0.000000,0.038533,0.000000,0.674110,0.674700,46.3
10,1,8.36e-05,0.0000,10.086925,5.239759,2.423583,0.000000,0.035165,0.000000,0.676349,0.676349,46.8
11,1,7.42e-05,0.0000,9.969383,5.227327,2.371028,0.000000,0.032818,0.000000,0.680945,0.680945,46.8
12,1,6.35e-05,0.0000,9.847305,5.208662,2.319321,0.000000,0.031246,0.000000,0.680853,0.680945,46.6
13,1,5.20e-05,0.0000,9.730122,5.189540,2.270291,0.000000,0.030005,0.000000,0.682723,0.682723,46.9
14,1,4.05e-05,0.0000,9.648919,5.178703,2.235108,0.000000,0.028820,0.000000,0.682147,0.682723,46.6
15,1,2.94e-05,0.0000,9.544987,5.166475,2.189256,0.000000,0.028165,0.000000,0.685579,0.685579,47.0
16,1,1.95e-05,0.0000,9.489342,5.158374,2.165484,0.000000,0.027578,0.000000,0.683221,0.685579,46.1
17,1,1.12e-05,0.0000,9.432907,5.151247,2.140830,0.000000,0.027166,0.000000,0.685094,0.685579,47.1
18,1,4.97e-06,0.0000,9.386579,5.147976,2.119302,0.000000,0.026947,0.000000,0.684426,0.685579,47.2
19,1,1.18e-06,0.0000,9.360747,5.145112,2.107818,0.000000,0.026829,0.000000,0.685500,0.685579,48.2
20,1,5.54e-09,0.0000,9.330756,5.144545,2.093105,0.000000,0.026803,0.000000,0.685351,0.685579,46.0
21,2,4.68e-06,0.3000,9.916470,6.922007,1.497231,0.000000,0.026407,1.096380,0.679017,0.685579,91.8
22,2,9.36e-06,0.3115,9.542024,6.544301,1.498862,0.000000,0.025336,0.901204,0.669607,0.685579,90.6
23,2,1.40e-05,0.3231,9.400819,6.384512,1.508153,0.000000,0.024302,0.866317,0.675958,0.685579,84.9
24,2,1.87e-05,0.3346,9.267131,6.263726,1.501703,0.000000,0.023104,0.833659,0.683999,0.685579,78.6
25,2,2.34e-05,0.3462,9.156467,6.153592,1.501438,0.000000,0.021829,0.790066,0.686244,0.686244,78.8
26,2,2.81e-05,0.3577,9.025808,6.036337,1.494736,0.000000,0.020590,0.767238,0.689926,0.689926,78.0
27,2,3.00e-05,0.3692,8.908257,5.927216,1.490521,0.000000,0.019432,0.727541,0.690608,0.690608,78.8
28,2,2.98e-05,0.3808,8.769873,5.826052,1.471911,0.000000,0.018477,0.690120,0.692202,0.692202,77.8
29,2,2.96e-05,0.3923,8.683853,5.741750,1.471051,0.000000,0.017688,0.676875,0.691238,0.692202,78.2
30,2,2.92e-05,0.4038,8.571515,5.657738,1.456888,0.000000,0.016978,0.632093,0.692780,0.692780,79.2
31,2,2.86e-05,0.4154,8.488088,5.597367,1.445361,0.000000,0.016452,0.612236,0.695300,0.695300,87.5
32,2,2.80e-05,0.4269,8.400384,5.541831,1.429277,0.000000,0.015953,0.616896,0.694799,0.695300,88.2
33,2,2.72e-05,0.4385,8.320817,5.486851,1.416983,0.000000,0.015502,0.558313,0.695332,0.695332,89.2
34,2,2.64e-05,0.4500,8.281201,5.454117,1.413542,0.000000,0.015122,0.533988,0.695831,0.695831,79.3
35,2,2.54e-05,0.4615,8.232725,5.438100,1.397312,0.000000,0.014789,0.523622,0.697477,0.697477,77.3
36,2,2.43e-05,0.4731,8.177052,5.410464,1.383294,0.000000,0.014432,0.517316,0.699469,0.699469,76.4
37,2,2.32e-05,0.4846,8.157600,5.404071,1.376764,0.000000,0.014192,0.529719,0.699053,0.699469,77.1
38,2,2.20e-05,0.4962,8.138127,5.391109,1.373509,0.000000,0.013939,0.516395,0.695926,0.699469,76.0
39,2,2.07e-05,0.5077,8.099713,5.384040,1.357836,0.000000,0.013718,0.529398,0.696317,0.699469,76.8
40,2,1.94e-05,0.5192,8.086643,5.390217,1.348213,0.000000,0.013515,0.533527,0.697345,0.699469,75.6
41,2,1.80e-05,0.5308,8.071054,5.381911,1.344572,0.000000,0.013326,0.517180,0.697491,0.699469,77.0
42,2,1.66e-05,0.5423,8.076858,5.403992,1.336433,0.000000,0.013155,0.514967,0.696967,0.699469,76.8
43,2,1.52e-05,0.5538,8.044189,5.407410,1.318390,0.000000,0.012996,0.500436,0.698449,0.699469,76.7
