epoch,phase,lr,word_dropout,loss_total,loss_lm,loss_nce,loss_attn,loss_vocab,loss_disc,val_bertscore_f1,best_metric,epoch_time_s
1,1,1.56e-05,0.0000,18.912269,11.818048,3.547110,0.000000,0.432633,0.000000,0.620344,0.620344,52.7
2,1,3.12e-05,0.0000,15.912470,9.061217,3.425626,0.000000,0.090869,0.000000,0.608801,0.620344,53.9
3,1,4.68e-05,0.0000,14.677029,8.437271,3.119879,0.000000,0.031125,0.000000,0.608819,0.620344,54.0
4,1,6.24e-05,0.0000,13.886676,8.241051,2.822812,0.000000,0.021917,0.000000,0.608076,0.620344,55.3
5,1,7.80e-05,0.0000,13.510221,8.105225,2.702498,0.000000,0.017803,0.000000,0.612610,0.620344,54.1
6,1,9.36e-05,0.0000,13.173076,7.922441,2.625317,0.000000,0.016313,0.000000,0.619038,0.620344,55.0
7,1,9.95e-05,0.0000,11.483580,6.343697,2.569941,0.000000,0.047200,0.000000,0.673703,0.673703,53.9
8,1,9.66e-05,0.0000,10.418289,5.397303,2.510493,0.000000,0.042455,0.000000,0.674547,0.674547,54.5
9,1,9.12e-05,0.0000,10.224992,5.338568,2.443212,0.000000,0.034263,0.000000,0.676388,0.676388,54.7
10,1,8.36e-05,0.0000,10.057587,5.306504,2.375541,0.000000,0.030656,0.000000,0.674927,0.676388,55.5
11,1,7.42e-05,0.0000,9.939549,5.280896,2.329327,0.000000,0.028429,0.000000,0.674865,0.676388,55.4
12,1,6.35e-05,0.0000,9.829960,5.259514,2.285223,0.000000,0.027071,0.000000,0.677560,0.677560,49.1
13,1,5.20e-05,0.0000,9.705882,5.245820,2.230031,0.000000,0.025886,0.000000,0.675666,0.677560,55.7
14,1,4.05e-05,0.0000,9.613857,5.235526,2.189165,0.000000,0.024947,0.000000,0.676511,0.677560,49.0
15,1,2.94e-05,0.0000,9.536782,5.228329,2.154226,0.000000,0.024311,0.000000,0.675233,0.677560,49.0
16,1,1.95e-05,0.0000,9.475794,5.220345,2.127725,0.000000,0.023918,0.000000,0.677350,0.677560,55.5
17,1,1.12e-05,0.0000,9.419062,5.212468,2.103297,0.000000,0.023614,0.000000,0.676493,0.677560,51.4
18,1,4.97e-06,0.0000,9.375842,5.209064,2.083389,0.000000,0.023445,0.000000,0.676789,0.677560,53.7
19,1,1.18e-06,0.0000,9.350856,5.212729,2.069064,0.000000,0.023352,0.000000,0.676611,0.677560,54.9
20,1,5.54e-09,0.0000,9.336411,5.207309,2.064551,0.000000,0.023329,0.000000,0.676239,0.677560,53.8
21,2,4.68e-06,0.3000,10.152999,6.999050,1.470290,2.133683,0.022960,1.265560,0.678110,0.678110,107.3
22,2,9.36e-06,0.3115,9.755484,6.606072,1.468693,2.120267,0.022016,1.133360,0.658745,0.678110,108.4
23,2,1.40e-05,0.3231,9.597193,6.443746,1.472854,2.077391,0.021111,1.070480,0.669550,0.678110,107.2
24,2,1.87e-05,0.3346,9.458268,6.325647,1.465690,2.012415,0.020122,1.058516,0.675183,0.678110,107.5
25,2,2.34e-05,0.3462,9.318814,6.204883,1.461113,1.917053,0.019086,1.005328,0.678672,0.678672,106.2
26,2,2.81e-05,0.3577,9.185423,6.096991,1.453845,1.807413,0.018096,0.993965,0.679153,0.679153,107.3
27,2,3.00e-05,0.3692,9.052728,5.991873,1.445843,1.691685,0.017190,1.008469,0.679719,0.679719,108.7
28,2,2.98e-05,0.3808,8.910406,5.888361,1.430960,1.601247,0.016441,0.972487,0.690164,0.690164,109.3
29,2,2.96e-05,0.3923,8.810441,5.808011,1.424961,1.525075,0.015877,0.981494,0.690152,0.690164,104.2
30,2,2.92e-05,0.4038,8.707676,5.745845,1.407823,1.461850,0.015409,0.999290,0.691442,0.691442,104.0
31,2,2.86e-05,0.4154,8.614207,5.690502,1.391767,1.401711,0.014948,1.009376,0.692041,0.692041,103.9
32,2,2.80e-05,0.4269,8.525826,5.635001,1.377776,1.352741,0.014571,0.998439,0.695183,0.695183,104.9
33,2,2.72e-05,0.4385,8.444590,5.588048,1.362907,1.307285,0.014252,0.979965,0.692759,0.695183,102.5
34,2,2.64e-05,0.4500,8.399879,5.565194,1.354693,1.253001,0.013970,0.987142,0.692392,0.695183,100.5
35,2,2.54e-05,0.4615,8.350727,5.546589,1.341208,1.217227,0.013729,1.011870,0.694752,0.695183,101.2
36,2,2.43e-05,0.4731,8.295385,5.524739,1.326188,1.182698,0.013460,1.003983,0.696025,0.696025,99.8
37,2,2.32e-05,0.4846,8.255025,5.512850,1.313306,1.155611,0.013240,1.005957,0.696313,0.696313,101.4
38,2,2.20e-05,0.4962,8.226441,5.513233,1.299940,1.133268,0.013040,1.031294,0.693974,0.696313,100.8
39,2,2.07e-05,0.5077,8.202070,5.499060,1.295949,1.111112,0.012887,1.043677,0.695532,0.696313,101.6
40,2,1.94e-05,0.5192,8.174120,5.506847,1.279571,1.081308,0.012732,1.043785,0.694653,0.696313,103.2
41,2,1.80e-05,0.5308,8.158544,5.514143,1.268897,1.066068,0.012567,1.038159,0.693865,0.696313,100.3
42,2,1.66e-05,0.5423,8.173530,5.534613,1.267147,1.046217,0.012431,1.076415,0.696645,0.696645,100.7
43,2,1.52e-05,0.5538,8.156350,5.539206,1.257173,1.027983,0.012311,1.102611,0.697018,0.697018,101.5
44,2,1.38e-05,0.5654,8.154694,5.558264,1.247232,1.019664,0.012192,1.122035,0.696077,0.697018,101.3
45,2,1.24e-05,0.5769,8.171406,5.570700,1.250157,1.003929,0.012119,1.117173,0.697287,0.697287,100.7
46,2,1.11e-05,0.5885,8.157094,5.589380,1.233927,0.998594,0.012038,1.131128,0.696634,0.697287,100.3
47,2,9.74e-06,0.6000,8.176650,5.619511,1.229380,0.983792,0.011946,1.186414,0.696107,0.697287,99.5
48,2,8.44e-06,0.6115,8.190930,5.637528,1.227711,0.979800,0.011886,1.199601,0.696109,0.697287,99.7
49,2,7.21e-06,0.6231,8.200254,5.667268,1.218073,0.968409,0.011811,1.217661,0.696902,0.697287,98.9
50,2,6.05e-06,0.6346,8.224955,5.697082,1.215832,0.962085,0.011758,1.243295,0.697460,0.697460,100.8
51,2,4.96e-06,0.6462,8.247721,5.723045,1.214712,0.952520,0.011701,1.262181,0.695987,0.697460,99.1
52,2,3.96e-06,0.6577,8.265093,5.754316,1.207848,0.950803,0.011666,1.318888,0.697276,0.697460,100.3
53,2,3.06e-06,0.6692,8.273990,5.778596,1.200177,0.950405,0.011646,1.355340,0.697557,0.697557,100.9
54,2,2.26e-06,0.6808,8.325484,5.815641,1.207664,0.945143,0.011621,1.373102,0.697236,0.697557,100.9
55,2,1.58e-06,0.6923,8.338665,5.844377,1.199805,0.946776,0.011600,1.420041,0.697392,0.697557,100.6
56,2,1.01e-06,0.7038,8.378962,5.882968,1.201032,0.939313,0.011583,1.483821,0.697220,0.697557,100.7
57,2,5.64e-07,0.7154,8.406174,5.921071,1.195833,0.934378,0.011576,1.503202,0.697443,0.697557,100.5
58,2,2.46e-07,0.7269,8.436899,5.949197,1.197036,0.936293,0.011565,1.554455,0.697394,0.697557,100.4
59,2,5.76e-08,0.7385,8.485985,5.988662,1.201982,0.933585,0.011568,1.585107,0.697290,0.697557,100.9
60,2,2.71e-10,0.7500,8.515751,6.028469,1.197014,0.932535,0.011563,1.659154,0.697351,0.697557,101.1
